,name,document_frequency
1006,vfnmsub231ps,6
1007,vcmpeqps,11
1008,vmrun,10
1009,vblendvpd,18
1010,vblendmpd,2
1011,vfmsub132sd,1
1012,vmfunc,9
1013,vaesdec,1
1014,vpermil2pd,2
1015,knotb,1
1016,vcmpeq_uqsd,1
1017,vmload,14
1018,valignq,1
1019,tzmsk,3
1020,vtestps,3
1021,vpcmpistrm,15
1022,vpmaddubsw,2
1023,vpcmpeqq,3
1024,extrq,2
1025,vblendmps,2
1026,adcx,1
1027,vroundss,2
1028,vfnmsub132ps,2
1029,vphaddubw,1
1030,vaesenc,1
1031,vpxorq,2
1032,cmpordps,13
1033,vfnmaddss,2
1034,vfmaddsub231ps,3
1035,vphaddsw,2
1036,vpgatherdq,1
1037,vcmpeqpd,7
1038,vfmadd132pd,1
1039,vfmsub132ps,7
1040,vpmaskmovd,2
1041,vcmpgt_oqss,1
1042,vpsravd,7
1043,vfrczsd,1
1044,vpminuq,2
1045,montmul,2
1046,vcmptrue_usps,1
1047,vcmpeqsd,6
1048,vpcomltuq,2
1049,vpmaxud,5
1050,vinsertps,5
1051,vcmptruepd,1
1052,vpmovzxbq,1
1053,vcmple_oqss,3
1054,vcmple_oqps,2
1055,vpermps,4
1056,vcvtpd2psx,3
1057,vfmsub132pd,1
1058,vpcomequd,1
1059,vpsraq,1
1060,vfmadd132sd,5
1061,vpmacsdd,2
1062,vpcomuw,1
1063,vfmsubadd213ps,3
1064,vpsignd,1
1065,vpcomgeuw,1
1066,vpsllvd,2
1067,vgatherqpd,3
1068,vcmpltss,1
1069,vfmaddsub213pd,1
1070,vpsignw,1
1071,vcmpgtps,1
1072,vcmpneq_ussd,1
1073,vpmovzxbd,1
1074,vfnmsub213pd,1
1075,vcmpgess,1
1076,vmclear,1
1077,vpermq,1
1078,vfmaddsubpd,2
1079,vfmsubadd231ps,1
1080,bzhi,1
1081,vpmovsxwd,1
1082,vfmsub231sd,1
1083,vfmaddsub231pd,3
1084,vmovmskpd,1
1085,vrcp28ps,1
1086,vpmovsxbw,1
1087,vcmpgesd,1
1088,vcmpge_oqps,1
1089,vcmpneqpd,2
1090,vpcomltq,1
1091,vphsubsw,1
1092,pmovsxbd,1
1093,vcmpeq_uqps,1
1094,vrsqrt28sd,1
1095,vfmaddsub132pd,1
1096,vmxon,1
1097,movntsd,1
1098,vcmpgt_oqsd,1
1099,vfnmaddsd,1
1100,vcmpneqss,1
1101,blci,1
1102,vcvttpd2dqx,1
1103,vcmpless,1
1104,vcmpngtss,1
1105,vcmpeq_osss,1
1106,vpabsd,1
1107,vfmsub231ps,1
1108,vfnmadd132sd,1
1109,pminsb,1
1110,shrx,1
1111,vcmpneq_uspd,1
1112,vcmpnltpd,1
1113,vpbroadcastd,1
