,name,document_frequency
900,blsr,1
901,vinserti128,3
902,phsubd,2
903,vrndscalesd,1
904,vfmsub213ps,1
905,sha256msg1,8
906,vfmaddss,1
907,vpcomud,3
908,bextr,2
909,xsetbv,4
910,crc32,7
911,vmcall,4
912,vmmcall,3
913,aesimc,12
914,aeskeygenassist,12
915,vperm2i128,4
916,vbroadcastss,3
917,vpshld,1
918,vpshlq,2
919,vpshab,1
920,vpalignr,8
921,vfnmsub231pd,1
922,cmpnlesd,2
923,cmpltss,3
924,vpshlb,1
925,vcmpnle_uqss,1
926,vcmpeqss,3
927,xstorerng,7
928,pcmpestri,1
929,vcmpord_spd,1
930,pextrd,10
931,cmpss,1
932,sarx,2
933,haddps,1
934,xend,2
935,xtest,1
936,vpsrldq,6
937,pclmulqdq,8
938,vpblendmw,1
939,vpcomfalseb,1
940,vpcomltb,1
941,vpcomgtud,1
942,vpcomltd,1
943,sha1msg2,3
944,maskmovdqu,4
945,cmplesd,2
946,cmpless,1
947,cmpnltss,1
948,cmpeqss,1
949,vcvtdq2ps,1
950,rorx,3
951,andn,3
952,vfmsubps,1
953,vfmsub231pd,1
954,vblendps,2
955,mulx,1
956,pext,1
957,vpperm,1
958,vpcomeqb,1
959,pcmpeqq,1
960,pmuldq,1
961,vprotq,1
962,pextrb,1
963,vpclmulqdq,1
964,vpextrb,1
965,vpextrd,1
966,pmaxuw,2
967,pminsd,2
968,pmovzxwd,2
969,pmovzxbw,1
970,pmovzxbd,2
971,packusdw,1
972,vmovshdup,2
973,vextractf128,1
974,vpermilps,1
975,vinsertf128,1
976,vfmsubadd231pd,1
977,psignb,2
978,vcmplesd,1
979,vfnmsubss,1
980,vpinsrd,1
981,vpmovzxbw,1
982,vcmple_oqpd,1
983,vsqrtps,2
984,skinit,1
985,vpminsd,2
986,vpermil2ps,1
987,vpshaq,1
988,vcmpfalse_osss,1
989,vpcomd,1
990,vucomiss,1
991,vcmpnge_uqss,1
992,vpmacswd,1
993,cvtpd2dq,1
994,vcmpunord_spd,1
995,haddpd,1
996,cmplepd,1
997,vcmpnle_uqps,1
